 Time    DRAD001001  DRAD001002  WRAD001001  WRAD001002  NP001001    NP001002    Temp   relhum 
    0.295200E+06    0.967220E-07    0.223177E-05    0.179802E-06    0.513249E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.298800E+06    0.967760E-07    0.223178E-05    0.179822E-06    0.513251E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.302400E+06    0.968143E-07    0.223179E-05    0.179836E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.306000E+06    0.968440E-07    0.223181E-05    0.179848E-06    0.513257E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.309600E+06    0.968688E-07    0.223182E-05    0.179857E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.313200E+06    0.968900E-07    0.223182E-05    0.179865E-06    0.513264E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.316800E+06    0.969067E-07    0.223182E-05    0.179872E-06    0.513264E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.320400E+06    0.969178E-07    0.223179E-05    0.179875E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.324000E+06    0.969189E-07    0.223176E-05    0.179875E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.327600E+06    0.969085E-07    0.223174E-05    0.179869E-06    0.513256E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.331200E+06    0.968939E-07    0.223174E-05    0.179862E-06    0.513262E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.334800E+06    0.968791E-07    0.223174E-05    0.179855E-06    0.513268E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.338400E+06    0.968644E-07    0.223172E-05    0.179848E-06    0.513272E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.342000E+06    0.968493E-07    0.223171E-05    0.179842E-06    0.513275E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.345600E+06    0.968344E-07    0.223169E-05    0.179836E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.349200E+06    0.968195E-07    0.223168E-05    0.179829E-06    0.513280E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.352800E+06    0.968048E-07    0.223167E-05    0.179823E-06    0.513282E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.356400E+06    0.967903E-07    0.223166E-05    0.179816E-06    0.513282E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.360000E+06    0.967759E-07    0.223165E-05    0.179809E-06    0.513283E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.363600E+06    0.967621E-07    0.223162E-05    0.179803E-06    0.513287E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.367200E+06    0.967721E-07    0.223162E-05    0.179809E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.370800E+06    0.968804E-07    0.223167E-05    0.179863E-06    0.513267E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.374400E+06    0.970328E-07    0.223174E-05    0.179931E-06    0.513253E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.378000E+06    0.971506E-07    0.223177E-05    0.179978E-06    0.513248E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.381600E+06    0.972273E-07    0.223178E-05    0.180007E-06    0.513248E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.385200E+06    0.972774E-07    0.223179E-05    0.180025E-06    0.513250E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.388800E+06    0.973116E-07    0.223180E-05    0.180038E-06    0.513253E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.392400E+06    0.973374E-07    0.223181E-05    0.180047E-06    0.513257E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.396000E+06    0.973582E-07    0.223183E-05    0.180056E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.399600E+06    0.973750E-07    0.223183E-05    0.180063E-06    0.513263E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.403200E+06    0.973879E-07    0.223182E-05    0.180070E-06    0.513263E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.406800E+06    0.973954E-07    0.223180E-05    0.180073E-06    0.513259E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.410400E+06    0.973936E-07    0.223177E-05    0.180071E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.414000E+06    0.973803E-07    0.223175E-05    0.180064E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.417600E+06    0.973627E-07    0.223175E-05    0.180058E-06    0.513262E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.421200E+06    0.973453E-07    0.223175E-05    0.180050E-06    0.513266E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.424800E+06    0.973278E-07    0.223173E-05    0.180042E-06    0.513270E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.428400E+06    0.973102E-07    0.223172E-05    0.180034E-06    0.513273E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.432000E+06    0.972927E-07    0.223171E-05    0.180027E-06    0.513275E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.435600E+06    0.972755E-07    0.223169E-05    0.180019E-06    0.513277E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.439200E+06    0.972582E-07    0.223168E-05    0.180011E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.442800E+06    0.972408E-07    0.223168E-05    0.180004E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.446400E+06    0.972235E-07    0.223167E-05    0.179997E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.450000E+06    0.972075E-07    0.223164E-05    0.179989E-06    0.513283E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.453600E+06    0.972148E-07    0.223163E-05    0.179994E-06    0.513277E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.457200E+06    0.973212E-07    0.223168E-05    0.180047E-06    0.513266E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.460800E+06    0.974716E-07    0.223174E-05    0.180114E-06    0.513252E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.464400E+06    0.975858E-07    0.223177E-05    0.180160E-06    0.513247E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.468000E+06    0.976588E-07    0.223179E-05    0.180188E-06    0.513248E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.471600E+06    0.977049E-07    0.223180E-05    0.180205E-06    0.513250E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.475200E+06    0.977361E-07    0.223181E-05    0.180215E-06    0.513253E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.478800E+06    0.977585E-07    0.223182E-05    0.180224E-06    0.513256E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.482400E+06    0.977759E-07    0.223183E-05    0.180231E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.486000E+06    0.977899E-07    0.223183E-05    0.180236E-06    0.513262E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.489600E+06    0.978004E-07    0.223182E-05    0.180239E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.493200E+06    0.978057E-07    0.223180E-05    0.180240E-06    0.513258E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.496800E+06    0.978015E-07    0.223177E-05    0.180237E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.500400E+06    0.977861E-07    0.223175E-05    0.180230E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.504000E+06    0.977666E-07    0.223176E-05    0.180221E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.507600E+06    0.977469E-07    0.223175E-05    0.180212E-06    0.513265E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.511200E+06    0.977269E-07    0.223174E-05    0.180204E-06    0.513268E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.514800E+06    0.977072E-07    0.223173E-05    0.180195E-06    0.513271E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.518400E+06    0.976876E-07    0.223172E-05    0.180186E-06    0.513272E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.522000E+06    0.976679E-07    0.223171E-05    0.180178E-06    0.513274E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.525600E+06    0.976482E-07    0.223170E-05    0.180170E-06    0.513274E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
